roll_no,name,course,semester,attendance_pct,avg_marks,lms_engagement_score,risk_score
CS15968,Student 13969,Electrical,3,89.0,28.0,94.4,34.3
CS15969,Student 13970,Computer Science,6,73.4,25.2,80.0,44.6
CS15970,Student 13971,Computer Science,3,36.6,96.8,12.5,44.1
CS15971,Student 13972,Civil,6,70.1,75.0,16.7,38.6
CS15972,Student 13973,Electrical,5,60.7,61.2,73.9,36.5
CS15973,Student 13974,Civil,4,63.4,30.4,18.0,58.9
CS15974,Student 13975,Mechanical,6,45.9,32.1,95.1,49.8
CS15975,Student 13976,Civil,5,81.4,73.4,19.5,34.2
CS15976,Student 13977,Computer Science,3,33.2,77.3,40.2,47.8
CS15977,Student 13978,Civil,6,71.2,64.0,87.4,28.4
CS15978,Student 13979,Electrical,3,86.6,61.9,51.2,30.4
CS15979,Student 13980,Computer Science,4,92.7,66.9,26.0,31.0
CS15980,Student 13981,Electrical,6,89.2,81.3,40.2,23.8
CS15981,Student 13982,Mechanical,4,76.1,88.9,88.6,16.3
CS15982,Student 13983,Computer Science,3,91.7,23.0,21.5,49.8
CS15983,Student 13984,Electrical,6,88.9,35.3,98.4,30.6
CS15984,Student 13985,Mechanical,3,67.4,81.2,42.8,32.0
CS15985,Student 13986,Computer Science,5,90.5,99.1,25.2,19.1
CS15986,Student 13987,Electrical,6,70.7,28.8,71.5,45.9
CS15987,Student 13988,Computer Science,6,58.3,58.9,28.3,47.5
CS15988,Student 13989,Mechanical,3,43.1,44.6,78.6,49.2
CS15989,Student 13990,Computer Science,3,73.8,91.1,32.8,27.5
CS15990,Student 13991,Electrical,3,45.5,27.6,29.7,64.8
CS15991,Student 13992,Electrical,6,66.6,33.8,23.3,55.2
CS15992,Student 13993,Mechanical,6,32.3,39.3,4.1,70.5
CS15993,Student 13994,Electrical,3,81.2,22.7,62.2,46.0
CS15994,Student 13995,Electrical,4,59.3,39.8,83.1,43.7
CS15995,Student 13996,Civil,5,36.3,75.4,32.4,48.8
CS15996,Student 13997,Mechanical,3,54.2,59.8,21.1,50.2
CS15997,Student 13998,Electrical,6,96.1,93.0,95.1,5.3
CS15998,Student 13999,Computer Science,3,94.5,35.2,75.9,32.9
CS15999,Student 14000,Mechanical,3,68.4,61.5,3.4,47.4
CS16000,Student 14001,Electrical,3,94.1,42.2,17.4,42.0
CS16001,Student 14002,Computer Science,3,81.1,55.2,50.6,35.4
CS16002,Student 14003,Computer Science,6,90.7,67.5,76.9,21.3
CS16003,Student 14004,Computer Science,4,32.4,58.5,73.3,49.0
CS16004,Student 14005,Electrical,6,73.7,62.3,85.2,28.6
CS16005,Student 14006,Electrical,5,80.2,42.2,31.5,44.7
CS16006,Student 14007,Computer Science,3,86.8,32.7,90.9,34.0
CS16007,Student 14008,Mechanical,6,83.1,45.3,21.9,44.3
CS16008,Student 14009,Electrical,5,45.5,30.3,17.0,66.3
CS16009,Student 14010,Civil,4,46.5,25.6,77.9,55.6
CS16010,Student 14011,Civil,4,40.4,45.7,73.6,50.8
CS16011,Student 14012,Civil,5,43.0,97.6,86.6,26.4
CS16012,Student 14013,Mechanical,3,92.9,32.2,57.5,38.5
CS16013,Student 14014,Civil,6,74.7,49.4,14.7,47.4
CS16014,Student 14015,Mechanical,3,69.3,95.4,75.9,18.9
CS16015,Student 14016,Electrical,5,69.7,38.1,58.2,45.2
CS16016,Student 14017,Electrical,4,38.2,43.8,72.9,52.6
CS16017,Student 14018,Civil,6,75.9,72.2,65.6,27.6
CS16018,Student 14019,Computer Science,6,87.6,44.3,66.3,34.0
CS16019,Student 14020,Mechanical,4,53.4,39.9,32.2,56.2
CS16020,Student 14021,Computer Science,3,42.7,68.6,8.1,53.9
CS16021,Student 14022,Civil,3,53.0,44.8,74.3,46.0
CS16022,Student 14023,Electrical,3,90.1,81.6,33.8,24.6
CS16023,Student 14024,Electrical,6,87.1,81.4,19.6,28.7
CS16024,Student 14025,Electrical,6,38.6,35.2,7.8,68.9
CS16025,Student 14026,Civil,6,95.1,68.4,40.0,26.6
CS16026,Student 14027,Computer Science,3,39.8,70.3,74.8,41.0
CS16027,Student 14028,Electrical,3,52.6,99.7,31.0,32.9
CS16028,Student 14029,Civil,4,57.4,68.5,30.6,43.5
CS16029,Student 14030,Electrical,6,93.2,77.8,11.7,29.3
CS16030,Student 14031,Computer Science,5,78.3,59.1,75.3,30.0
CS16031,Student 14032,Electrical,6,90.4,64.4,64.5,25.2
CS16032,Student 14033,Electrical,4,97.0,43.7,68.6,30.0
CS16033,Student 14034,Civil,4,30.9,60.8,49.8,53.4
CS16034,Student 14035,Mechanical,6,88.2,59.3,53.9,30.2
CS16035,Student 14036,Civil,3,61.0,67.7,48.2,38.9
CS16036,Student 14037,Mechanical,4,31.9,35.1,89.9,55.2
CS16037,Student 14038,Electrical,6,62.0,29.6,94.3,44.5
CS16038,Student 14039,Mechanical,4,61.1,47.6,91.2,38.3
CS16039,Student 14040,Electrical,4,37.7,73.4,79.7,39.6
CS16040,Student 14041,Computer Science,6,97.7,20.9,87.3,35.1
CS16041,Student 14042,Computer Science,4,47.3,99.9,16.2,37.9
CS16042,Student 14043,Civil,6,78.4,68.3,92.5,22.8
CS16043,Student 14044,Computer Science,5,86.9,59.8,23.4,36.6
CS16044,Student 14045,Electrical,5,91.9,92.9,12.2,23.6
CS16045,Student 14046,Computer Science,5,83.5,97.9,17.9,23.9
CS16046,Student 14047,Mechanical,5,48.9,46.2,58.8,50.2
CS16047,Student 14048,Electrical,6,47.3,80.6,10.2,46.8
CS16048,Student 14049,Mechanical,3,45.0,56.5,30.5,53.3
CS16049,Student 14050,Computer Science,3,88.0,49.5,13.3,42.3
CS16050,Student 14051,Civil,4,76.3,99.1,27.7,24.3
CS16051,Student 14052,Electrical,3,49.5,99.9,95.8,21.1
CS16052,Student 14053,Mechanical,3,66.2,21.9,13.2,62.1
CS16053,Student 14054,Mechanical,5,76.4,83.8,35.7,28.8
CS16054,Student 14055,Mechanical,4,80.2,58.1,28.4,39.0
CS16055,Student 14056,Mechanical,5,99.9,86.9,2.6,24.8
CS16056,Student 14057,Mechanical,3,78.3,60.5,28.5,38.8
CS16057,Student 14058,Computer Science,3,55.1,33.9,44.6,55.5
CS16058,Student 14059,Civil,4,66.0,80.7,2.9,40.7
CS16059,Student 14060,Computer Science,3,78.7,44.3,52.1,40.4
CS16060,Student 14061,Civil,4,30.3,87.3,81.6,36.6
CS16061,Student 14062,Computer Science,4,57.2,62.2,71.9,37.9
CS16062,Student 14063,Civil,3,94.3,84.8,98.6,8.6
CS16063,Student 14064,Electrical,6,49.4,45.6,84.1,45.2
CS16064,Student 14065,Electrical,5,45.1,61.7,0.4,57.2
CS16065,Student 14066,Computer Science,5,45.5,22.7,32.9,66.1
CS16066,Student 14067,Computer Science,4,38.2,73.8,50.1,45.2
CS16067,Student 14068,Civil,5,63.1,74.1,98.8,25.4
CS16068,Student 14069,Electrical,3,68.9,53.4,52.3,40.6
CS16069,Student 14070,Civil,4,90.7,70.6,82.8,18.9
CS16070,Student 14071,Computer Science,5,74.2,37.5,59.4,43.4
CS16071,Student 14072,Electrical,6,53.7,31.4,94.7,47.0
CS16072,Student 14073,Electrical,6,59.1,25.2,83.0,49.7
CS16073,Student 14074,Computer Science,3,42.2,39.5,25.8,62.2
CS16074,Student 14075,Mechanical,4,57.9,54.8,12.9,52.3
CS16075,Student 14076,Mechanical,3,54.2,50.6,67.5,44.6
CS16076,Student 14077,Mechanical,3,73.0,60.4,39.2,38.8
CS16077,Student 14078,Mechanical,6,72.2,65.6,39.0,37.1
CS16078,Student 14079,Electrical,4,79.8,60.5,33.2,37.2
CS16079,Student 14080,Civil,3,56.0,22.5,79.8,52.6
CS16080,Student 14081,Mechanical,6,59.9,96.1,53.6,26.9
CS16081,Student 14082,Electrical,4,50.6,42.3,77.3,47.4
CS16082,Student 14083,Civil,3,50.9,71.6,78.7,35.3
CS16083,Student 14084,Civil,6,52.4,31.4,55.3,55.4
CS16084,Student 14085,Mechanical,3,51.7,61.4,93.9,36.0
CS16085,Student 14086,Mechanical,4,84.6,96.1,36.9,20.3
CS16086,Student 14087,Mechanical,6,95.8,32.1,51.2,38.6
CS16087,Student 14088,Civil,5,98.0,68.8,18.1,29.7
CS16088,Student 14089,Computer Science,3,78.7,54.5,58.9,34.9
CS16089,Student 14090,Mechanical,4,86.1,53.1,37.3,36.9
CS16090,Student 14091,Mechanical,3,55.9,45.5,47.3,50.0
CS16091,Student 14092,Civil,4,39.5,88.5,1.2,48.6
CS16092,Student 14093,Mechanical,3,79.4,83.9,66.6,21.4
CS16093,Student 14094,Civil,4,71.8,64.5,63.5,32.8
CS16094,Student 14095,Electrical,4,49.1,64.6,32.6,48.0
CS16095,Student 14096,Electrical,6,59.2,68.6,63.2,36.2
CS16096,Student 14097,Civil,6,87.9,53.4,23.6,38.8
CS16097,Student 14098,Civil,4,89.3,42.8,80.8,31.0
CS16098,Student 14099,Civil,4,67.2,51.1,50.1,42.7
CS16099,Student 14100,Electrical,3,60.8,57.4,32.6,46.2
CS16100,Student 14101,Computer Science,3,52.8,61.8,66.1,40.9
CS16101,Student 14102,Electrical,4,43.6,84.3,50.3,38.8
CS16102,Student 14103,Computer Science,6,77.6,42.7,84.7,34.9
CS16103,Student 14104,Electrical,5,89.9,30.4,69.9,37.9
CS16104,Student 14105,Electrical,3,92.3,87.9,14.3,25.1
CS16105,Student 14106,Mechanical,6,79.0,38.9,24.5,47.9
CS16106,Student 14107,Electrical,5,64.4,97.1,38.6,27.7
CS16107,Student 14108,Computer Science,5,57.0,74.3,90.6,29.4
CS16108,Student 14109,Electrical,5,52.8,21.5,18.1,66.7
CS16109,Student 14110,Civil,3,68.5,73.1,72.4,28.9
CS16110,Student 14111,Computer Science,6,81.2,79.1,87.3,18.4
CS16111,Student 14112,Mechanical,4,76.8,41.4,25.0,47.7
CS16112,Student 14113,Electrical,3,96.4,68.1,84.7,17.3
CS16113,Student 14114,Electrical,6,50.6,58.9,36.6,48.9
CS16114,Student 14115,Computer Science,4,32.8,74.4,46.9,47.7
CS16115,Student 14116,Mechanical,5,62.5,93.8,27.6,32.0
CS16116,Student 14117,Mechanical,3,83.4,46.3,5.5,47.0
CS16117,Student 14118,Civil,3,47.7,71.4,99.1,32.5
CS16118,Student 14119,Civil,6,44.3,25.6,42.8,63.5
CS16119,Student 14120,Electrical,6,96.7,69.0,61.0,21.5
CS16120,Student 14121,Mechanical,5,96.0,78.9,48.7,20.3
CS16121,Student 14122,Electrical,6,93.6,93.5,44.2,16.3
CS16122,Student 14123,Mechanical,3,75.3,60.9,11.7,43.2
CS16123,Student 14124,Electrical,4,80.7,82.0,98.1,15.3
CS16124,Student 14125,Computer Science,4,80.0,53.5,14.9,43.6
CS16125,Student 14126,Computer Science,3,54.1,95.2,6.2,39.0
CS16126,Student 14127,Computer Science,4,36.6,56.0,83.8,46.2
CS16127,Student 14128,Mechanical,4,71.7,74.1,6.1,40.5
CS16128,Student 14129,Electrical,6,67.1,93.8,18.1,32.0
CS16129,Student 14130,Electrical,3,99.8,60.8,29.4,29.9
CS16130,Student 14131,Mechanical,5,91.3,58.8,47.1,30.5
CS16131,Student 14132,Mechanical,6,66.2,74.8,68.5,29.9
CS16132,Student 14133,Electrical,4,94.1,53.3,25.9,35.9
CS16133,Student 14134,Electrical,6,73.2,59.3,58.5,35.3
CS16134,Student 14135,Mechanical,3,68.2,40.7,52.1,46.0
CS16135,Student 14136,Electrical,5,33.6,21.8,53.1,67.2
CS16136,Student 14137,Computer Science,6,34.2,94.4,97.1,29.1
CS16137,Student 14138,Electrical,5,34.5,56.6,50.2,53.5
CS16138,Student 14139,Mechanical,5,73.6,77.4,18.2,36.0
CS16139,Student 14140,Computer Science,4,78.7,67.7,27.2,36.0
CS16140,Student 14141,Electrical,4,77.4,29.1,72.3,42.9
CS16141,Student 14142,Civil,6,73.3,50.4,16.5,47.2
CS16142,Student 14143,Mechanical,3,68.3,51.0,51.7,41.9
CS16143,Student 14144,Civil,4,64.8,76.7,96.8,24.0
CS16144,Student 14145,Electrical,4,37.3,90.1,96.2,29.8
CS16145,Student 14146,Computer Science,5,59.7,48.8,80.7,40.5
CS16146,Student 14147,Mechanical,6,52.5,42.9,10.7,59.7
CS16147,Student 14148,Computer Science,5,52.8,73.5,99.1,29.7
CS16148,Student 14149,Electrical,4,91.4,26.2,26.9,47.6
CS16149,Student 14150,Mechanical,3,73.1,43.7,60.7,41.1
CS16150,Student 14151,Computer Science,3,72.9,73.3,89.5,23.6
CS16151,Student 14152,Civil,5,97.7,25.9,64.4,37.7
CS16152,Student 14153,Computer Science,4,88.4,98.0,99.0,5.6
CS16153,Student 14154,Mechanical,6,32.2,33.2,54.2,63.0
CS16154,Student 14155,Civil,6,52.4,41.5,90.7,44.3
CS16155,Student 14156,Electrical,3,84.4,37.8,10.5,49.0
CS16156,Student 14157,Electrical,6,37.3,83.6,97.1,32.2
CS16157,Student 14158,Civil,5,89.5,23.2,99.8,35.0
CS16158,Student 14159,Civil,6,63.9,20.4,35.1,59.3
CS16159,Student 14160,Computer Science,6,43.4,94.9,6.5,43.4
CS16160,Student 14161,Civil,3,52.3,97.5,46.6,30.8
CS16161,Student 14162,Computer Science,3,64.4,33.6,44.3,51.9
CS16162,Student 14163,Computer Science,5,77.8,27.3,41.6,49.6
CS16163,Student 14164,Computer Science,5,43.7,53.9,82.8,44.4
CS16164,Student 14165,Civil,3,73.3,88.2,73.7,20.7
CS16165,Student 14166,Civil,4,91.5,35.3,48.0,39.7
CS16166,Student 14167,Computer Science,5,51.3,28.7,68.0,54.4
CS16167,Student 14168,Computer Science,6,69.0,37.0,84.2,40.8
CS16168,Student 14169,Civil,3,86.6,68.2,94.2,19.2
CS16169,Student 14170,Computer Science,5,68.0,71.5,37.4,36.7
CS16170,Student 14171,Mechanical,3,35.5,35.2,31.0,65.5
CS16171,Student 14172,Computer Science,5,83.4,77.7,78.4,19.9
CS16172,Student 14173,Electrical,6,87.1,90.8,56.2,17.6
CS16173,Student 14174,Electrical,4,96.9,33.5,22.3,43.4
CS16174,Student 14175,Mechanical,6,81.4,58.3,65.5,31.0
CS16175,Student 14176,Computer Science,6,65.0,54.4,90.0,34.2
CS16176,Student 14177,Computer Science,5,67.3,66.4,99.7,26.6
CS16177,Student 14178,Mechanical,6,39.2,63.7,25.7,53.7
CS16178,Student 14179,Computer Science,4,49.7,32.4,80.8,51.0
CS16179,Student 14180,Mechanical,6,95.7,39.7,58.8,34.1
CS16180,Student 14181,Mechanical,6,62.4,40.0,76.7,43.7
CS16181,Student 14182,Electrical,6,56.3,92.0,99.4,20.8
CS16182,Student 14183,Mechanical,3,88.9,34.3,18.7,47.0
CS16183,Student 14184,Civil,5,75.0,30.7,52.4,47.2
CS16184,Student 14185,Computer Science,3,33.4,62.8,26.9,56.1
CS16185,Student 14186,Computer Science,6,71.9,61.3,63.5,34.0
CS16186,Student 14187,Mechanical,6,68.0,45.2,61.9,42.3
CS16187,Student 14188,Mechanical,6,78.1,38.3,80.5,37.3
CS16188,Student 14189,Computer Science,5,75.7,65.6,72.1,29.1
CS16189,Student 14190,Electrical,6,46.8,75.4,36.9,43.7
CS16190,Student 14191,Electrical,4,86.2,55.7,17.0,39.8
CS16191,Student 14192,Civil,5,32.4,92.9,60.8,37.7
CS16192,Student 14193,Electrical,6,95.4,23.0,64.9,39.7
CS16193,Student 14194,Mechanical,5,46.9,47.3,89.9,44.3
CS16194,Student 14195,Civil,6,70.3,85.0,82.8,21.3
CS16195,Student 14196,Civil,3,53.4,63.1,16.2,50.2
CS16196,Student 14197,Mechanical,3,51.7,67.1,59.1,40.7
CS16197,Student 14198,Computer Science,3,96.1,66.7,93.4,16.2
CS16198,Student 14199,Computer Science,4,69.3,56.8,31.3,43.3
CS16199,Student 14200,Mechanical,6,48.9,52.8,60.5,47.2
CS16200,Student 14201,Mechanical,3,45.6,61.8,30.8,50.9
CS16201,Student 14202,Computer Science,3,87.7,74.1,64.7,22.3
CS16202,Student 14203,Electrical,6,57.8,81.2,97.5,24.9
CS16203,Student 14204,Civil,5,50.9,37.3,37.6,57.2
CS16204,Student 14205,Mechanical,4,99.1,73.8,84.3,14.0
CS16205,Student 14206,Electrical,6,66.6,92.1,41.7,28.2
CS16206,Student 14207,Civil,5,40.0,50.0,53.6,53.3
CS16207,Student 14208,Computer Science,5,85.5,27.2,47.3,45.5
CS16208,Student 14209,Computer Science,3,32.2,38.7,78.7,55.9
CS16209,Student 14210,Civil,6,95.8,57.4,98.3,19.1
CS16210,Student 14211,Civil,4,43.6,90.1,51.5,36.2
CS16211,Student 14212,Electrical,4,36.2,84.1,2.6,51.4
CS16212,Student 14213,Computer Science,5,66.1,33.9,0.7,59.9
CS16213,Student 14214,Electrical,5,59.0,20.5,51.1,58.0
CS16214,Student 14215,Civil,3,46.8,55.9,63.2,46.3
CS16215,Student 14216,Electrical,4,83.2,97.4,22.9,23.2
CS16216,Student 14217,Mechanical,6,42.4,87.4,23.9,43.3
CS16217,Student 14218,Civil,4,34.9,20.3,23.4,73.2
CS16218,Student 14219,Computer Science,4,91.9,71.8,27.8,29.0
CS16219,Student 14220,Civil,3,30.1,47.6,98.4,49.2
CS16220,Student 14221,Civil,4,61.5,61.5,63.5,38.1
CS16221,Student 14222,Computer Science,6,57.9,69.2,0.9,49.0
CS16222,Student 14223,Computer Science,3,80.4,55.9,32.3,39.0
CS16223,Student 14224,Civil,5,76.9,29.1,81.4,41.3
CS16224,Student 14225,Mechanical,6,81.9,96.5,87.6,11.1
CS16225,Student 14226,Civil,6,84.9,44.0,69.4,34.6
CS16226,Student 14227,Electrical,4,94.1,81.1,23.3,25.3
CS16227,Student 14228,Electrical,4,70.1,80.2,56.7,28.5
CS16228,Student 14229,Computer Science,6,71.1,57.5,60.9,36.4
CS16229,Student 14230,Electrical,5,52.0,94.6,1.9,41.0
CS16230,Student 14231,Mechanical,6,69.8,94.4,31.9,27.9
CS16231,Student 14232,Mechanical,3,77.1,93.0,43.1,23.3
CS16232,Student 14233,Computer Science,5,95.9,31.0,74.2,34.4
CS16233,Student 14234,Mechanical,5,88.1,58.8,90.2,23.2
CS16234,Student 14235,Electrical,5,45.0,28.8,27.1,65.1
CS16235,Student 14236,Electrical,3,95.0,86.6,34.5,20.5
CS16236,Student 14237,Computer Science,3,96.1,73.2,57.4,20.8
CS16237,Student 14238,Electrical,6,56.5,95.5,89.3,21.3
CS16238,Student 14239,Computer Science,5,67.4,20.7,56.8,53.4
CS16239,Student 14240,Electrical,3,87.5,60.3,0.4,40.8
CS16240,Student 14241,Mechanical,6,91.1,37.0,10.8,46.6
CS16241,Student 14242,Civil,6,45.1,68.7,94.7,35.5
CS16242,Student 14243,Mechanical,5,36.8,41.9,76.2,53.3
CS16243,Student 14244,Computer Science,4,56.7,99.1,79.5,21.8
CS16244,Student 14245,Civil,5,87.0,56.5,74.3,27.7
CS16245,Student 14246,Civil,6,63.6,66.6,83.8,31.2
CS16246,Student 14247,Computer Science,6,55.5,29.4,75.7,50.9
CS16247,Student 14248,Computer Science,6,74.9,67.3,3.6,42.4
CS16248,Student 14249,Electrical,5,38.3,56.8,27.2,56.5
CS16249,Student 14250,Electrical,3,53.5,95.5,48.8,30.6
CS16250,Student 14251,Computer Science,6,62.4,65.6,57.3,37.3
CS16251,Student 14252,Mechanical,3,39.5,44.5,66.9,53.0
CS16252,Student 14253,Mechanical,5,45.3,71.2,68.4,39.7
CS16253,Student 14254,Electrical,5,66.2,33.7,57.3,48.6
CS16254,Student 14255,Civil,4,57.0,22.2,51.5,58.0
CS16255,Student 14256,Civil,4,81.7,73.8,96.9,18.4
CS16256,Student 14257,Computer Science,6,41.1,59.3,43.7,51.1
CS16257,Student 14258,Computer Science,5,37.5,75.8,21.1,50.5
CS16258,Student 14259,Mechanical,5,32.0,40.8,52.4,60.4
CS16259,Student 14260,Mechanical,5,78.4,51.7,73.6,33.2
CS16260,Student 14261,Electrical,5,51.0,83.4,35.7,39.1
CS16261,Student 14262,Electrical,3,99.1,37.7,66.7,31.9
CS16262,Student 14263,Mechanical,3,79.8,22.4,37.4,51.6
CS16263,Student 14264,Electrical,3,95.1,46.1,66.6,30.2
CS16264,Student 14265,Electrical,6,36.1,31.9,99.0,53.0
CS16265,Student 14266,Electrical,3,51.8,48.9,8.3,58.1
CS16266,Student 14267,Electrical,5,70.8,87.2,22.5,32.3
CS16267,Student 14268,Computer Science,3,60.7,87.0,23.6,36.2
CS16268,Student 14269,Electrical,5,90.9,73.5,1.5,33.9
CS16269,Student 14270,Electrical,6,43.1,42.0,36.1,58.7
CS16270,Student 14271,Mechanical,4,53.1,60.2,77.1,39.3
CS16271,Student 14272,Electrical,6,83.5,24.9,79.1,40.8
CS16272,Student 14273,Electrical,3,83.3,94.1,44.2,20.2
CS16273,Student 14274,Electrical,5,60.7,44.6,16.2,54.6
CS16274,Student 14275,Computer Science,5,68.1,83.6,52.8,28.8
CS16275,Student 14276,Electrical,3,67.9,62.6,71.8,33.4
CS16276,Student 14277,Computer Science,4,41.2,36.2,43.7,60.3
CS16277,Student 14278,Civil,6,94.4,91.7,18.0,22.0
CS16278,Student 14279,Mechanical,4,59.2,53.6,15.4,51.8
CS16279,Student 14280,Computer Science,5,50.5,37.2,17.6,61.4
CS16280,Student 14281,Mechanical,3,71.3,22.8,65.8,49.2
CS16281,Student 14282,Civil,4,47.9,28.3,93.0,50.9
CS16282,Student 14283,Civil,6,61.4,83.5,4.8,41.1
CS16283,Student 14284,Civil,6,73.1,43.3,71.7,39.1
CS16284,Student 14285,Computer Science,3,36.7,35.8,65.4,57.9
CS16285,Student 14286,Computer Science,6,47.6,80.8,5.9,47.5
CS16286,Student 14287,Civil,3,36.6,91.8,46.7,39.3
CS16287,Student 14288,Mechanical,5,67.5,84.0,85.8,22.2
CS16288,Student 14289,Mechanical,4,40.5,63.7,38.2,50.7
CS16289,Student 14290,Mechanical,5,79.5,78.9,81.5,20.3
CS16290,Student 14291,Computer Science,4,85.3,26.4,40.9,47.1
CS16291,Student 14292,Electrical,4,33.0,66.8,50.8,49.9
CS16292,Student 14293,Computer Science,4,76.9,91.8,22.9,27.9
CS16293,Student 14294,Electrical,4,35.4,50.4,21.2,61.4
CS16294,Student 14295,Computer Science,5,76.0,70.8,15.3,38.2
CS16295,Student 14296,Mechanical,5,45.2,66.2,44.4,46.6
CS16296,Student 14297,Civil,6,79.3,94.7,17.6,26.9
CS16297,Student 14298,Electrical,6,59.5,64.2,51.2,40.3
CS16298,Student 14299,Mechanical,4,48.3,90.8,27.4,38.9
CS16299,Student 14300,Mechanical,6,93.9,98.8,35.7,15.8
CS16300,Student 14301,Mechanical,5,83.6,71.4,49.5,28.1
CS16301,Student 14302,Computer Science,5,59.8,89.5,11.1,38.1
CS16302,Student 14303,Civil,4,38.3,56.6,84.8,45.1
CS16303,Student 14304,Electrical,3,65.9,81.8,49.3,31.1
CS16304,Student 14305,Electrical,3,78.8,50.5,3.9,47.5
CS16305,Student 14306,Electrical,6,72.0,88.3,14.6,33.0
CS16306,Student 14307,Computer Science,4,90.2,94.4,93.9,7.4
CS16307,Student 14308,Electrical,5,88.1,84.1,65.0,18.1
CS16308,Student 14309,Electrical,5,73.3,32.5,28.9,51.9
CS16309,Student 14310,Computer Science,5,75.9,57.1,94.3,27.9
CS16310,Student 14311,Computer Science,6,50.2,80.1,75.9,32.7
CS16311,Student 14312,Mechanical,6,30.7,39.3,20.4,67.9
CS16312,Student 14313,Mechanical,5,72.6,32.9,93.3,39.1
CS16313,Student 14314,Mechanical,6,56.7,37.0,31.7,56.2
CS16314,Student 14315,Mechanical,6,63.7,84.4,65.2,27.7
CS16315,Student 14316,Electrical,6,40.4,72.2,32.9,48.4
CS16316,Student 14317,Computer Science,6,32.1,72.7,37.9,50.5
CS16317,Student 14318,Civil,6,65.7,56.2,50.9,41.1
CS16318,Student 14319,Computer Science,6,49.3,56.3,11.6,55.4
CS16319,Student 14320,Computer Science,6,49.8,68.0,61.8,40.5
CS16320,Student 14321,Civil,5,84.5,86.2,16.9,28.3
CS16321,Student 14322,Civil,5,79.3,82.2,85.0,18.4
CS16322,Student 14323,Computer Science,5,55.0,38.4,94.6,43.7
CS16323,Student 14324,Mechanical,6,80.1,62.1,89.8,25.2
CS16324,Student 14325,Computer Science,5,92.3,32.8,20.6,45.8
CS16325,Student 14326,Electrical,4,90.0,70.5,79.3,19.9
CS16326,Student 14327,Mechanical,4,38.7,28.0,40.2,65.3
CS16327,Student 14328,Mechanical,4,70.2,89.6,64.0,23.3
CS16328,Student 14329,Mechanical,6,77.8,26.3,68.7,44.6
CS16329,Student 14330,Electrical,3,82.9,79.7,35.9,27.8
CS16330,Student 14331,Electrical,4,67.6,38.3,74.0,42.8
CS16331,Student 14332,Mechanical,5,34.5,32.4,4.2,72.4
CS16332,Student 14333,Civil,4,68.5,80.0,90.1,22.6
CS16333,Student 14334,Mechanical,5,89.2,93.7,70.4,12.8
CS16334,Student 14335,Computer Science,3,82.6,32.6,73.2,39.3
CS16335,Student 14336,Electrical,3,82.1,58.8,76.4,28.4
CS16336,Student 14337,Mechanical,6,75.3,52.2,59.1,37.2
CS16337,Student 14338,Civil,4,75.5,85.6,99.3,15.7
CS16338,Student 14339,Electrical,6,47.8,33.4,40.6,59.4
CS16339,Student 14340,Electrical,6,33.3,37.5,58.9,59.9
CS16340,Student 14341,Computer Science,3,86.9,98.6,6.3,24.5
CS16341,Student 14342,Computer Science,6,96.0,88.2,84.7,9.4
CS16342,Student 14343,Computer Science,5,42.6,56.1,87.8,43.0
CS16343,Student 14344,Electrical,6,38.1,68.7,94.0,38.5
CS16344,Student 14345,Civil,4,48.8,51.7,33.2,53.2
CS16345,Student 14346,Electrical,3,43.9,33.2,35.6,62.0
CS16346,Student 14347,Computer Science,3,54.7,71.3,4.1,48.8
CS16347,Student 14348,Electrical,5,76.6,64.9,30.3,37.3
CS16348,Student 14349,Computer Science,3,51.5,46.0,32.6,54.5
CS16349,Student 14350,Civil,6,66.8,86.2,65.6,25.7
CS16350,Student 14351,Civil,3,67.9,62.3,8.1,46.3
CS16351,Student 14352,Civil,4,47.5,78.2,5.0,48.7
CS16352,Student 14353,Computer Science,3,69.7,80.6,65.0,26.9
CS16353,Student 14354,Computer Science,3,34.7,53.2,71.8,50.5
CS16354,Student 14355,Mechanical,6,89.9,58.9,93.8,21.7
CS16355,Student 14356,Electrical,4,95.7,71.4,74.2,18.3
CS16356,Student 14357,Civil,4,54.5,30.1,32.0,59.8
CS16357,Student 14358,Civil,5,99.6,66.6,20.7,29.4
CS16358,Student 14359,Civil,6,97.2,83.1,93.7,9.1
CS16359,Student 14360,Electrical,5,45.7,44.5,47.5,54.4
CS16360,Student 14361,Electrical,6,51.3,98.9,34.1,33.1
CS16361,Student 14362,Civil,3,35.5,97.2,45.3,37.9
CS16362,Student 14363,Electrical,6,98.9,27.5,8.6,47.7
CS16363,Student 14364,Electrical,5,59.0,70.3,12.4,45.8
CS16364,Student 14365,Mechanical,6,79.7,83.0,55.6,23.8
CS16365,Student 14366,Civil,4,62.7,29.0,75.3,48.3
CS16366,Student 14367,Mechanical,4,44.9,56.3,73.8,44.8
CS16367,Student 14368,Electrical,5,67.1,94.4,45.2,26.4
CS16368,Student 14369,Civil,4,89.8,42.3,13.1,44.5
CS16369,Student 14370,Computer Science,6,69.1,75.7,5.1,41.1
CS16370,Student 14371,Electrical,6,58.8,84.2,83.5,26.1
CS16371,Student 14372,Civil,3,71.1,97.4,72.8,18.0
CS16372,Student 14373,Computer Science,5,92.9,44.6,79.7,29.1
CS16373,Student 14374,Computer Science,6,78.5,41.1,56.5,40.9
CS16374,Student 14375,Computer Science,5,87.1,90.8,35.0,21.8
