room_no,date,time_slot,booked_by,capacity,occupancy,utilization_pct
Room 204,2026-07-06,10:00,Course 407,40,18,45.0
Lab 1,2026-07-22,08:00,Course 447,60,41,68.3
Lab 1,2026-07-19,14:00,Course 153,200,179,89.5
Seminar 1,2026-07-14,12:00,Course 286,60,18,30.0
Lab 2,2026-07-09,14:00,Course 230,100,78,78.0
Room 101,2026-07-14,10:00,Course 198,30,15,50.0
Conference 1,2026-07-08,08:00,Course 271,30,30,100.0
Conference 1,2026-07-19,08:00,Course 230,200,109,54.5
Room 101,2026-07-27,10:00,Course 402,60,2,3.3
Room 204,2026-07-26,12:00,Course 244,40,33,82.5
Lab 1,2026-07-02,10:00,Course 296,60,59,98.3
Lab 1,2026-07-16,14:00,Course 192,60,38,63.3
Lab 1,2026-07-23,10:00,Course 465,60,34,56.7
Room 204,2026-07-08,12:00,Course 371,40,27,67.5
Conference 1,2026-07-27,10:00,Course 361,60,32,53.3
Conference 1,2026-07-28,14:00,Course 334,200,175,87.5
Auditorium A,2026-07-21,12:00,Course 382,30,13,43.3
Room 204,2026-07-07,10:00,Course 257,40,9,22.5
Room 204,2026-07-14,08:00,Course 374,40,25,62.5
Lab 1,2026-07-24,08:00,Course 469,100,51,51.0
Room 101,2026-07-19,12:00,Course 158,40,33,82.5
Seminar 1,2026-07-13,10:00,Course 179,40,25,62.5
Conference 1,2026-07-27,12:00,Course 420,200,25,12.5
Lab 2,2026-07-24,12:00,Course 488,60,39,65.0
Room 101,2026-07-14,10:00,Course 434,40,3,7.5
Auditorium A,2026-07-23,12:00,Course 396,60,44,73.3
Room 101,2026-07-02,08:00,Course 439,30,28,93.3
Lab 2,2026-07-12,10:00,Course 358,40,24,60.0
Lab 1,2026-07-15,08:00,Course 370,40,40,100.0
Room 204,2026-07-18,10:00,Course 203,100,70,70.0
Seminar 1,2026-07-20,12:00,Course 321,30,20,66.7
Auditorium A,2026-07-12,10:00,Course 234,100,5,5.0
Auditorium A,2026-07-18,14:00,Course 477,40,18,45.0
Auditorium A,2026-07-19,12:00,Course 207,200,170,85.0
Seminar 1,2026-07-07,08:00,Course 358,100,52,52.0
Conference 1,2026-07-24,10:00,Course 417,200,194,97.0
Auditorium A,2026-07-17,12:00,Course 417,100,87,87.0
Seminar 1,2026-07-16,14:00,Course 180,40,40,100.0
Room 204,2026-07-21,12:00,Course 473,100,6,6.0
Room 204,2026-07-18,12:00,Course 266,30,1,3.3
Seminar 1,2026-07-18,10:00,Course 181,60,6,10.0
Room 204,2026-07-20,14:00,Course 426,40,12,30.0
Room 204,2026-07-17,08:00,Course 427,40,29,72.5
Lab 2,2026-07-28,14:00,Course 329,200,139,69.5
Seminar 1,2026-07-02,14:00,Course 377,200,34,17.0
Room 204,2026-07-09,14:00,Course 457,100,16,16.0
Conference 1,2026-07-01,10:00,Course 400,40,31,77.5
Room 101,2026-07-19,14:00,Course 300,200,175,87.5
Auditorium A,2026-07-13,12:00,Course 335,40,37,92.5
Lab 1,2026-07-15,12:00,Course 283,40,10,25.0
Lab 2,2026-07-06,12:00,Course 246,200,140,70.0
Room 204,2026-07-06,14:00,Course 498,100,83,83.0
Auditorium A,2026-07-01,12:00,Course 103,100,16,16.0
Room 204,2026-07-06,12:00,Course 318,40,36,90.0
Lab 1,2026-07-16,10:00,Course 242,60,13,21.7
Room 204,2026-07-15,08:00,Course 426,100,4,4.0
Room 204,2026-07-05,12:00,Course 357,60,15,25.0
Room 101,2026-07-12,08:00,Course 372,200,12,6.0
Conference 1,2026-07-13,10:00,Course 242,30,5,16.7
Conference 1,2026-07-01,12:00,Course 343,60,40,66.7
Auditorium A,2026-07-17,12:00,Course 474,100,65,65.0
Auditorium A,2026-07-14,12:00,Course 454,40,23,57.5
Room 204,2026-07-28,10:00,Course 469,60,6,10.0
Room 101,2026-07-19,14:00,Course 186,60,6,10.0
Room 204,2026-07-18,10:00,Course 325,100,80,80.0
Lab 2,2026-07-21,10:00,Course 385,60,40,66.7
Auditorium A,2026-07-10,14:00,Course 203,60,11,18.3
Lab 2,2026-07-06,12:00,Course 375,40,20,50.0
Lab 2,2026-07-19,12:00,Course 498,60,11,18.3
Room 101,2026-07-05,14:00,Course 288,200,200,100.0
Lab 2,2026-07-02,08:00,Course 228,100,90,90.0
Room 101,2026-07-20,10:00,Course 135,60,0,0.0
Lab 2,2026-07-21,08:00,Course 231,60,30,50.0
Lab 1,2026-07-10,08:00,Course 478,200,95,47.5
Lab 2,2026-07-22,12:00,Course 250,30,21,70.0
Auditorium A,2026-07-16,08:00,Course 273,100,87,87.0
Room 204,2026-07-08,10:00,Course 138,60,16,26.7
Room 101,2026-07-01,10:00,Course 139,30,24,80.0
Auditorium A,2026-07-10,12:00,Course 404,60,9,15.0
Room 204,2026-07-16,08:00,Course 258,200,90,45.0
Lab 2,2026-07-16,10:00,Course 373,40,13,32.5
Lab 1,2026-07-20,10:00,Course 392,40,8,20.0
Room 204,2026-07-18,12:00,Course 265,100,27,27.0
Lab 2,2026-07-27,08:00,Course 492,200,90,45.0
Seminar 1,2026-07-15,14:00,Course 348,40,40,100.0
Conference 1,2026-07-26,08:00,Course 477,200,70,35.0
Seminar 1,2026-07-24,08:00,Course 499,40,4,10.0
Lab 2,2026-07-08,08:00,Course 330,60,31,51.7
Conference 1,2026-07-05,10:00,Course 305,200,140,70.0
Room 204,2026-07-20,12:00,Course 472,30,11,36.7
Auditorium A,2026-07-06,14:00,Course 390,60,38,63.3
Room 204,2026-07-03,12:00,Course 206,200,143,71.5
Lab 2,2026-07-12,12:00,Course 492,100,22,22.0
Room 101,2026-07-09,08:00,Course 431,200,177,88.5
Conference 1,2026-07-13,10:00,Course 205,200,29,14.5
Room 101,2026-07-05,14:00,Course 427,60,7,11.7
Lab 1,2026-07-28,12:00,Course 255,100,81,81.0
Lab 2,2026-07-16,12:00,Course 108,30,30,100.0
Auditorium A,2026-07-03,12:00,Course 388,200,125,62.5
Conference 1,2026-07-23,10:00,Course 450,40,18,45.0
Seminar 1,2026-07-01,10:00,Course 220,30,1,3.3
Auditorium A,2026-07-02,12:00,Course 411,60,52,86.7
Room 204,2026-07-19,12:00,Course 140,40,5,12.5
Lab 2,2026-07-14,14:00,Course 175,100,45,45.0
Lab 2,2026-07-09,14:00,Course 320,30,1,3.3
Room 101,2026-07-25,12:00,Course 340,40,26,65.0
Auditorium A,2026-07-16,12:00,Course 341,30,29,96.7
Lab 2,2026-07-05,10:00,Course 323,40,16,40.0
Room 204,2026-07-10,12:00,Course 449,40,12,30.0
Auditorium A,2026-07-03,08:00,Course 264,200,96,48.0
Seminar 1,2026-07-12,08:00,Course 456,200,88,44.0
Room 204,2026-07-26,08:00,Course 328,30,4,13.3
Lab 2,2026-07-16,14:00,Course 330,40,28,70.0
Room 101,2026-07-03,14:00,Course 310,30,13,43.3
Auditorium A,2026-07-06,10:00,Course 237,60,50,83.3
Conference 1,2026-07-26,08:00,Course 413,200,24,12.0
Room 101,2026-07-25,14:00,Course 245,60,2,3.3
Auditorium A,2026-07-17,12:00,Course 109,30,20,66.7
Lab 2,2026-07-10,08:00,Course 372,30,14,46.7
Conference 1,2026-07-18,08:00,Course 281,60,10,16.7
Lab 2,2026-07-04,08:00,Course 471,40,4,10.0
Auditorium A,2026-07-20,08:00,Course 395,100,83,83.0
Conference 1,2026-07-11,12:00,Course 327,200,113,56.5
Room 101,2026-07-18,08:00,Course 294,200,160,80.0
Room 204,2026-07-04,12:00,Course 218,200,59,29.5
Room 204,2026-07-04,08:00,Course 157,40,23,57.5
Room 204,2026-07-08,08:00,Course 358,60,34,56.7
Conference 1,2026-07-23,14:00,Course 485,40,31,77.5
Conference 1,2026-07-19,14:00,Course 339,30,4,13.3
Room 204,2026-07-17,08:00,Course 447,30,0,0.0
Seminar 1,2026-07-22,12:00,Course 408,30,20,66.7
Room 101,2026-07-03,12:00,Course 339,100,78,78.0
Room 101,2026-07-25,12:00,Course 182,60,41,68.3
Room 204,2026-07-22,12:00,Course 254,40,22,55.0
Conference 1,2026-07-03,08:00,Course 198,100,25,25.0
Room 101,2026-07-27,10:00,Course 268,40,24,60.0
Seminar 1,2026-07-04,10:00,Course 215,200,0,0.0
Room 204,2026-07-15,12:00,Course 232,100,75,75.0
Lab 1,2026-07-04,08:00,Course 407,100,97,97.0
Lab 1,2026-07-28,10:00,Course 412,100,33,33.0
Room 204,2026-07-24,14:00,Course 267,200,91,45.5
Lab 1,2026-07-23,12:00,Course 316,60,52,86.7
Auditorium A,2026-07-01,12:00,Course 224,100,38,38.0
Lab 2,2026-07-07,12:00,Course 171,40,5,12.5
Auditorium A,2026-07-03,12:00,Course 343,40,24,60.0
Lab 2,2026-07-04,10:00,Course 174,40,5,12.5
Conference 1,2026-07-02,14:00,Course 260,100,78,78.0
Lab 2,2026-07-17,12:00,Course 259,200,20,10.0
Lab 1,2026-07-12,10:00,Course 293,200,61,30.5
Lab 1,2026-07-09,14:00,Course 401,30,16,53.3
Room 204,2026-07-20,12:00,Course 306,100,80,80.0
Lab 2,2026-07-02,14:00,Course 450,60,30,50.0
Seminar 1,2026-07-28,08:00,Course 154,60,31,51.7
Seminar 1,2026-07-17,08:00,Course 474,60,21,35.0
Room 204,2026-07-23,10:00,Course 208,200,169,84.5
Auditorium A,2026-07-24,12:00,Course 157,200,73,36.5
Lab 1,2026-07-16,10:00,Course 284,60,21,35.0
Lab 1,2026-07-15,14:00,Course 417,200,122,61.0
Conference 1,2026-07-11,10:00,Course 324,30,27,90.0
Auditorium A,2026-07-16,12:00,Course 196,200,19,9.5
Room 204,2026-07-09,08:00,Course 387,30,3,10.0
Conference 1,2026-07-26,08:00,Course 244,30,30,100.0
Auditorium A,2026-07-20,10:00,Course 426,30,21,70.0
Conference 1,2026-07-03,14:00,Course 403,200,1,0.5
Seminar 1,2026-07-14,14:00,Course 384,100,9,9.0
Seminar 1,2026-07-26,12:00,Course 128,60,14,23.3
Lab 2,2026-07-08,08:00,Course 334,100,84,84.0
Conference 1,2026-07-20,08:00,Course 442,200,88,44.0
Auditorium A,2026-07-18,12:00,Course 244,200,183,91.5
Lab 2,2026-07-22,14:00,Course 375,30,28,93.3
Conference 1,2026-07-23,08:00,Course 189,40,25,62.5
Room 101,2026-07-10,14:00,Course 336,100,100,100.0
Conference 1,2026-07-22,12:00,Course 380,30,25,83.3
Lab 1,2026-07-18,08:00,Course 483,30,2,6.7
Lab 1,2026-07-11,12:00,Course 403,30,14,46.7
Lab 2,2026-07-24,10:00,Course 127,40,17,42.5
Auditorium A,2026-07-23,10:00,Course 198,40,25,62.5
Lab 1,2026-07-25,14:00,Course 400,60,48,80.0
Room 204,2026-07-08,08:00,Course 154,30,1,3.3
Room 204,2026-07-25,10:00,Course 369,60,46,76.7
Seminar 1,2026-07-03,12:00,Course 138,30,1,3.3
Seminar 1,2026-07-17,12:00,Course 334,30,27,90.0
Room 101,2026-07-08,10:00,Course 128,40,17,42.5
Lab 1,2026-07-26,14:00,Course 160,200,1,0.5
Lab 2,2026-07-25,10:00,Course 132,100,80,80.0
Room 204,2026-07-02,12:00,Course 305,60,31,51.7
Room 204,2026-07-10,10:00,Course 201,30,19,63.3
Auditorium A,2026-07-26,08:00,Course 187,60,24,40.0
Lab 2,2026-07-20,12:00,Course 170,200,48,24.0
Lab 1,2026-07-18,10:00,Course 273,30,3,10.0
Room 204,2026-07-01,08:00,Course 192,30,29,96.7
Auditorium A,2026-07-14,14:00,Course 349,30,15,50.0
Seminar 1,2026-07-22,14:00,Course 184,40,20,50.0
Room 101,2026-07-25,14:00,Course 261,40,24,60.0
Seminar 1,2026-07-10,10:00,Course 108,60,52,86.7
Room 204,2026-07-13,08:00,Course 170,100,32,32.0
Lab 1,2026-07-07,14:00,Course 404,100,82,82.0
Conference 1,2026-07-01,10:00,Course 472,40,29,72.5
Conference 1,2026-07-18,14:00,Course 101,200,164,82.0
Conference 1,2026-07-16,12:00,Course 286,30,6,20.0
Conference 1,2026-07-18,08:00,Course 339,200,89,44.5
Auditorium A,2026-07-07,12:00,Course 102,100,25,25.0
Room 101,2026-07-10,14:00,Course 310,100,82,82.0
Conference 1,2026-07-19,10:00,Course 390,200,52,26.0
Lab 1,2026-07-14,14:00,Course 172,200,99,49.5
Lab 2,2026-07-19,12:00,Course 440,200,168,84.0
Room 101,2026-07-09,14:00,Course 194,200,127,63.5
Room 101,2026-07-07,08:00,Course 471,100,52,52.0
Room 101,2026-07-10,08:00,Course 208,30,8,26.7
Seminar 1,2026-07-25,12:00,Course 466,30,1,3.3
Room 101,2026-07-03,14:00,Course 330,30,3,10.0
Conference 1,2026-07-06,10:00,Course 237,100,85,85.0
Room 204,2026-07-18,08:00,Course 178,100,92,92.0
Lab 1,2026-07-12,12:00,Course 497,60,2,3.3
Room 204,2026-07-26,14:00,Course 258,60,12,20.0
Seminar 1,2026-07-09,14:00,Course 149,60,30,50.0
Room 101,2026-07-28,14:00,Course 171,60,6,10.0
Room 101,2026-07-13,08:00,Course 467,100,1,1.0
Lab 1,2026-07-19,12:00,Course 351,100,17,17.0
Room 101,2026-07-27,12:00,Course 226,60,51,85.0
Lab 2,2026-07-09,08:00,Course 283,30,16,53.3
Auditorium A,2026-07-03,14:00,Course 471,60,56,93.3
Lab 1,2026-07-19,10:00,Course 234,100,98,98.0
Lab 1,2026-07-01,12:00,Course 169,200,77,38.5
Conference 1,2026-07-13,12:00,Course 353,60,16,26.7
Lab 1,2026-07-13,14:00,Course 194,60,20,33.3
Conference 1,2026-07-04,12:00,Course 498,40,6,15.0
Room 101,2026-07-12,12:00,Course 388,100,15,15.0
Room 204,2026-07-07,08:00,Course 344,200,166,83.0
Room 204,2026-07-02,12:00,Course 139,40,26,65.0
Room 204,2026-07-08,10:00,Course 262,40,26,65.0
Lab 1,2026-07-22,12:00,Course 203,30,27,90.0
Seminar 1,2026-07-24,08:00,Course 413,100,86,86.0
Seminar 1,2026-07-22,12:00,Course 454,200,193,96.5
Lab 2,2026-07-14,10:00,Course 429,200,195,97.5
Lab 1,2026-07-24,14:00,Course 266,60,7,11.7
Room 101,2026-07-09,14:00,Course 413,30,14,46.7
Room 204,2026-07-19,08:00,Course 272,40,39,97.5
Conference 1,2026-07-15,14:00,Course 290,40,23,57.5
Lab 2,2026-07-13,08:00,Course 143,30,30,100.0
Lab 2,2026-07-27,08:00,Course 455,40,14,35.0
Auditorium A,2026-07-08,10:00,Course 448,200,84,42.0
Seminar 1,2026-07-19,12:00,Course 220,40,28,70.0
Room 101,2026-07-09,14:00,Course 320,100,57,57.0
Room 101,2026-07-14,14:00,Course 105,60,22,36.7
Lab 1,2026-07-17,10:00,Course 342,30,29,96.7
Lab 1,2026-07-23,14:00,Course 410,40,25,62.5
Lab 2,2026-07-07,14:00,Course 315,30,24,80.0
Lab 2,2026-07-06,10:00,Course 337,40,15,37.5
Conference 1,2026-07-03,14:00,Course 425,40,19,47.5
Auditorium A,2026-07-04,14:00,Course 235,40,19,47.5
Lab 1,2026-07-17,08:00,Course 127,100,90,90.0
Lab 2,2026-07-02,10:00,Course 196,60,36,60.0
Room 204,2026-07-15,10:00,Course 243,100,22,22.0
Lab 2,2026-07-21,14:00,Course 395,200,127,63.5
Auditorium A,2026-07-26,08:00,Course 460,200,65,32.5
Lab 1,2026-07-16,10:00,Course 373,30,12,40.0
Room 204,2026-07-12,08:00,Course 392,40,11,27.5
Room 204,2026-07-17,10:00,Course 208,40,38,95.0
Lab 1,2026-07-15,14:00,Course 360,40,2,5.0
Auditorium A,2026-07-04,14:00,Course 353,60,19,31.7
Auditorium A,2026-07-08,14:00,Course 178,100,92,92.0
Room 204,2026-07-26,14:00,Course 378,40,38,95.0
Lab 2,2026-07-02,14:00,Course 162,60,12,20.0
Room 101,2026-07-17,10:00,Course 152,200,86,43.0
Seminar 1,2026-07-13,08:00,Course 286,40,25,62.5
Lab 2,2026-07-21,08:00,Course 262,100,47,47.0
Lab 1,2026-07-05,10:00,Course 288,100,65,65.0
Conference 1,2026-07-02,08:00,Course 229,30,19,63.3
Lab 1,2026-07-09,12:00,Course 413,60,15,25.0
Auditorium A,2026-07-06,14:00,Course 400,200,147,73.5
Auditorium A,2026-07-04,12:00,Course 124,200,105,52.5
Lab 1,2026-07-18,14:00,Course 453,60,4,6.7
Room 101,2026-07-24,10:00,Course 101,200,147,73.5
Lab 2,2026-07-16,14:00,Course 369,200,188,94.0
Lab 2,2026-07-10,10:00,Course 129,40,40,100.0
Lab 2,2026-07-10,12:00,Course 470,40,11,27.5
Room 204,2026-07-16,14:00,Course 427,200,126,63.0
Lab 2,2026-07-05,12:00,Course 312,100,98,98.0
Lab 2,2026-07-27,14:00,Course 374,40,35,87.5
Conference 1,2026-07-21,08:00,Course 314,40,8,20.0
Conference 1,2026-07-06,14:00,Course 294,60,9,15.0
Lab 2,2026-07-07,12:00,Course 461,100,10,10.0
Auditorium A,2026-07-10,12:00,Course 311,40,5,12.5
Conference 1,2026-07-08,12:00,Course 301,40,32,80.0
Conference 1,2026-07-16,14:00,Course 334,30,27,90.0
Conference 1,2026-07-14,08:00,Course 359,30,21,70.0
Auditorium A,2026-07-19,14:00,Course 304,40,22,55.0
Lab 2,2026-07-26,14:00,Course 192,30,14,46.7
Room 204,2026-07-06,14:00,Course 469,60,39,65.0
Seminar 1,2026-07-17,14:00,Course 299,100,39,39.0
Seminar 1,2026-07-25,08:00,Course 287,100,77,77.0
Conference 1,2026-07-19,08:00,Course 462,100,92,92.0
Seminar 1,2026-07-25,14:00,Course 244,60,37,61.7
Lab 2,2026-07-06,12:00,Course 440,30,6,20.0
Conference 1,2026-07-05,08:00,Course 294,30,0,0.0
Room 204,2026-07-06,10:00,Course 479,200,17,8.5
Auditorium A,2026-07-03,14:00,Course 149,200,114,57.0
Room 101,2026-07-13,10:00,Course 217,40,33,82.5
Room 204,2026-07-20,14:00,Course 145,30,28,93.3
Conference 1,2026-07-13,14:00,Course 174,200,150,75.0
Room 101,2026-07-02,08:00,Course 425,100,52,52.0
Lab 2,2026-07-15,08:00,Course 155,60,58,96.7
Lab 2,2026-07-18,08:00,Course 420,30,7,23.3
Seminar 1,2026-07-08,10:00,Course 175,30,13,43.3
Auditorium A,2026-07-27,12:00,Course 453,100,91,91.0
Seminar 1,2026-07-01,08:00,Course 442,100,90,90.0
Conference 1,2026-07-27,08:00,Course 252,30,25,83.3
Room 204,2026-07-11,08:00,Course 146,60,41,68.3
Auditorium A,2026-07-05,14:00,Course 286,30,10,33.3
Room 204,2026-07-07,14:00,Course 156,40,21,52.5
Seminar 1,2026-07-25,14:00,Course 197,40,18,45.0
Conference 1,2026-07-18,10:00,Course 310,30,27,90.0
Room 204,2026-07-15,14:00,Course 264,200,0,0.0
Auditorium A,2026-07-03,12:00,Course 192,30,23,76.7
Conference 1,2026-07-23,14:00,Course 317,30,18,60.0
Conference 1,2026-07-24,08:00,Course 197,200,40,20.0
Room 101,2026-07-02,08:00,Course 215,40,1,2.5
Room 204,2026-07-07,12:00,Course 235,200,34,17.0
Room 101,2026-07-24,10:00,Course 322,200,144,72.0
Auditorium A,2026-07-14,10:00,Course 477,30,2,6.7
Lab 1,2026-07-03,12:00,Course 274,200,177,88.5
Lab 2,2026-07-17,08:00,Course 240,100,29,29.0
Lab 1,2026-07-19,08:00,Course 149,60,30,50.0
Lab 2,2026-07-14,14:00,Course 475,100,24,24.0
Auditorium A,2026-07-07,12:00,Course 192,40,7,17.5
Lab 2,2026-07-14,10:00,Course 241,200,120,60.0
Seminar 1,2026-07-04,12:00,Course 396,30,20,66.7
Seminar 1,2026-07-19,12:00,Course 465,60,40,66.7
Seminar 1,2026-07-06,12:00,Course 227,200,3,1.5
Room 101,2026-07-08,14:00,Course 488,60,4,6.7
Room 101,2026-07-11,12:00,Course 139,200,119,59.5
Seminar 1,2026-07-22,12:00,Course 463,40,23,57.5
Room 101,2026-07-15,08:00,Course 296,100,93,93.0
Conference 1,2026-07-22,12:00,Course 332,30,6,20.0
Auditorium A,2026-07-08,08:00,Course 289,40,28,70.0
Conference 1,2026-07-17,12:00,Course 334,60,36,60.0
Room 101,2026-07-01,12:00,Course 169,40,25,62.5
Lab 1,2026-07-12,08:00,Course 340,100,66,66.0
Conference 1,2026-07-12,12:00,Course 429,30,0,0.0
Room 101,2026-07-10,08:00,Course 300,60,38,63.3
Lab 2,2026-07-26,12:00,Course 197,60,22,36.7
Room 101,2026-07-25,12:00,Course 383,200,78,39.0
Room 204,2026-07-10,10:00,Course 303,40,37,92.5
Auditorium A,2026-07-23,08:00,Course 240,200,73,36.5
Lab 1,2026-07-17,14:00,Course 197,100,68,68.0
Lab 2,2026-07-05,08:00,Course 180,30,19,63.3
Conference 1,2026-07-05,14:00,Course 430,200,126,63.0
Auditorium A,2026-07-03,12:00,Course 167,60,55,91.7
Auditorium A,2026-07-25,08:00,Course 489,100,12,12.0
Lab 2,2026-07-07,12:00,Course 366,200,122,61.0
Seminar 1,2026-07-27,10:00,Course 230,60,38,63.3
Lab 2,2026-07-19,12:00,Course 405,30,10,33.3
Room 204,2026-07-12,14:00,Course 185,30,22,73.3
Room 101,2026-07-02,12:00,Course 410,40,1,2.5
Conference 1,2026-07-02,10:00,Course 217,60,30,50.0
Conference 1,2026-07-22,08:00,Course 419,30,25,83.3
Seminar 1,2026-07-09,08:00,Course 495,200,56,28.0
Room 204,2026-07-16,10:00,Course 242,60,8,13.3
Lab 2,2026-07-04,10:00,Course 366,200,136,68.0
Lab 1,2026-07-05,08:00,Course 361,100,16,16.0
Conference 1,2026-07-16,10:00,Course 252,100,90,90.0
Conference 1,2026-07-08,12:00,Course 194,200,42,21.0
Lab 2,2026-07-15,12:00,Course 494,30,11,36.7
Lab 2,2026-07-12,08:00,Course 296,100,92,92.0
Lab 2,2026-07-21,14:00,Course 236,100,31,31.0
Room 101,2026-07-03,10:00,Course 316,200,149,74.5
Lab 2,2026-07-08,14:00,Course 443,200,69,34.5
Room 204,2026-07-13,12:00,Course 404,100,99,99.0
Lab 1,2026-07-09,08:00,Course 418,40,37,92.5
Seminar 1,2026-07-10,10:00,Course 205,30,18,60.0
Room 204,2026-07-16,08:00,Course 281,200,86,43.0
Seminar 1,2026-07-21,08:00,Course 323,30,12,40.0
Room 101,2026-07-20,14:00,Course 130,200,11,5.5
Room 101,2026-07-03,14:00,Course 179,40,19,47.5
Auditorium A,2026-07-21,08:00,Course 379,60,14,23.3
Seminar 1,2026-07-04,08:00,Course 420,40,15,37.5
Auditorium A,2026-07-06,12:00,Course 333,40,13,32.5
Auditorium A,2026-07-20,12:00,Course 244,60,55,91.7
Room 101,2026-07-08,08:00,Course 270,200,125,62.5
Seminar 1,2026-07-10,10:00,Course 189,40,9,22.5
Lab 1,2026-07-17,12:00,Course 333,100,47,47.0
Room 204,2026-07-03,12:00,Course 228,200,18,9.0
Room 204,2026-07-26,14:00,Course 324,200,194,97.0
Room 101,2026-07-19,12:00,Course 152,40,34,85.0
Room 204,2026-07-19,10:00,Course 358,100,50,50.0
Conference 1,2026-07-28,10:00,Course 351,60,45,75.0
Lab 1,2026-07-09,12:00,Course 479,40,3,7.5
Conference 1,2026-07-06,12:00,Course 287,30,11,36.7
Auditorium A,2026-07-12,08:00,Course 204,100,44,44.0
Room 204,2026-07-01,08:00,Course 248,30,18,60.0
Room 204,2026-07-09,14:00,Course 454,100,69,69.0
Lab 1,2026-07-22,08:00,Course 375,40,29,72.5
Auditorium A,2026-07-03,08:00,Course 311,200,156,78.0
Room 204,2026-07-13,08:00,Course 387,30,3,10.0
Room 204,2026-07-05,08:00,Course 218,30,19,63.3
Seminar 1,2026-07-17,08:00,Course 323,30,25,83.3
Conference 1,2026-07-12,08:00,Course 263,30,13,43.3
Auditorium A,2026-07-21,14:00,Course 144,40,0,0.0
Auditorium A,2026-07-09,10:00,Course 450,200,163,81.5
Room 204,2026-07-16,10:00,Course 334,60,45,75.0
Room 101,2026-07-04,10:00,Course 153,30,3,10.0
Lab 2,2026-07-16,08:00,Course 218,100,59,59.0
Conference 1,2026-07-21,08:00,Course 229,100,8,8.0
Seminar 1,2026-07-17,08:00,Course 457,40,33,82.5
Lab 2,2026-07-23,08:00,Course 257,30,4,13.3
Conference 1,2026-07-07,12:00,Course 417,30,30,100.0
Conference 1,2026-07-23,14:00,Course 149,40,24,60.0
Seminar 1,2026-07-05,08:00,Course 112,30,24,80.0
Conference 1,2026-07-01,08:00,Course 389,200,60,30.0
Seminar 1,2026-07-05,12:00,Course 326,100,83,83.0
Seminar 1,2026-07-18,14:00,Course 202,200,93,46.5
Room 204,2026-07-26,10:00,Course 413,100,94,94.0
Auditorium A,2026-07-04,08:00,Course 342,200,42,21.0
Lab 1,2026-07-27,14:00,Course 387,30,13,43.3
Room 101,2026-07-15,08:00,Course 243,30,1,3.3
Auditorium A,2026-07-19,14:00,Course 207,40,20,50.0
Lab 2,2026-07-08,14:00,Course 340,30,2,6.7
Room 204,2026-07-08,14:00,Course 271,30,17,56.7
Lab 1,2026-07-21,12:00,Course 123,200,155,77.5
Lab 1,2026-07-15,12:00,Course 336,100,61,61.0
Lab 2,2026-07-27,10:00,Course 311,200,160,80.0
Room 204,2026-07-03,08:00,Course 447,30,10,33.3
Room 101,2026-07-21,10:00,Course 260,40,6,15.0
Conference 1,2026-07-22,10:00,Course 286,100,7,7.0
Conference 1,2026-07-22,08:00,Course 454,60,48,80.0
Room 204,2026-07-03,10:00,Course 174,100,51,51.0
Room 204,2026-07-17,14:00,Course 359,60,29,48.3
Room 204,2026-07-11,10:00,Course 467,30,0,0.0
Lab 1,2026-07-26,08:00,Course 238,30,10,33.3
Room 101,2026-07-09,12:00,Course 225,200,119,59.5
Room 101,2026-07-18,10:00,Course 280,40,13,32.5
Conference 1,2026-07-07,12:00,Course 119,200,47,23.5
Lab 2,2026-07-27,08:00,Course 292,100,65,65.0
Lab 1,2026-07-08,10:00,Course 271,30,14,46.7
Room 101,2026-07-20,10:00,Course 418,30,21,70.0
Room 204,2026-07-28,08:00,Course 288,100,51,51.0
Lab 1,2026-07-19,08:00,Course 351,40,39,97.5
Seminar 1,2026-07-09,12:00,Course 255,100,20,20.0
Conference 1,2026-07-12,12:00,Course 375,200,177,88.5
Conference 1,2026-07-17,10:00,Course 221,30,1,3.3
Lab 1,2026-07-03,12:00,Course 463,40,22,55.0
Lab 2,2026-07-08,10:00,Course 182,100,43,43.0
Seminar 1,2026-07-24,14:00,Course 130,60,47,78.3
Lab 2,2026-07-10,10:00,Course 264,30,28,93.3
Seminar 1,2026-07-01,08:00,Course 413,100,5,5.0
Room 101,2026-07-21,12:00,Course 500,60,32,53.3
Auditorium A,2026-07-10,10:00,Course 246,100,75,75.0
Seminar 1,2026-07-20,10:00,Course 471,30,17,56.7
Lab 2,2026-07-28,12:00,Course 367,60,54,90.0
Room 101,2026-07-05,10:00,Course 119,60,57,95.0
Lab 2,2026-07-26,10:00,Course 486,30,28,93.3
Conference 1,2026-07-18,08:00,Course 159,40,2,5.0
Seminar 1,2026-07-08,14:00,Course 298,200,66,33.0
Conference 1,2026-07-18,08:00,Course 275,60,7,11.7
Auditorium A,2026-07-22,10:00,Course 146,100,90,90.0
Room 204,2026-07-03,12:00,Course 435,40,2,5.0
Seminar 1,2026-07-18,14:00,Course 267,60,0,0.0
Seminar 1,2026-07-14,14:00,Course 439,30,26,86.7
Lab 2,2026-07-03,10:00,Course 258,60,49,81.7
Room 101,2026-07-06,08:00,Course 226,100,40,40.0
Room 204,2026-07-10,14:00,Course 181,40,28,70.0
Lab 1,2026-07-25,08:00,Course 368,30,6,20.0
Lab 1,2026-07-10,12:00,Course 345,40,36,90.0
Seminar 1,2026-07-27,14:00,Course 400,40,36,90.0
Room 204,2026-07-12,08:00,Course 281,30,17,56.7
