roll_no,name,branch,cgpa,technical_score,communication_score,internship_experience,readiness_index
CS16669,Student 14670,Computer Science,6.0,84.4,45.5,3,62.4
CS16670,Student 14671,Civil,7.5,72.8,68.3,1,65.6
CS16671,Student 14672,Mechanical,8.9,33.5,83.6,0,56.3
CS16672,Student 14673,Electrical,5.7,33.5,50.7,3,43.0
CS16673,Student 14674,Computer Science,6.3,82.4,99.6,1,76.4
CS16674,Student 14675,Electrical,9.0,72.2,86.9,3,76.0
CS16675,Student 14676,Electrical,8.2,46.6,71.3,0,56.4
CS16676,Student 14677,Computer Science,9.9,80.5,72.1,1,74.6
CS16677,Student 14678,Mechanical,8.6,89.0,84.0,3,81.0
CS16678,Student 14679,Electrical,8.8,75.8,46.5,1,62.9
CS16679,Student 14680,Mechanical,6.6,35.1,94.0,2,57.4
CS16680,Student 14681,Electrical,9.3,31.0,90.0,2,60.0
CS16681,Student 14682,Mechanical,9.4,50.0,42.3,2,53.5
CS16682,Student 14683,Civil,5.7,45.9,41.6,2,44.2
CS16683,Student 14684,Computer Science,9.5,68.8,80.8,1,71.8
CS16684,Student 14685,Electrical,6.6,55.9,54.0,0,51.8
CS16685,Student 14686,Civil,8.3,72.6,51.1,0,61.0
CS16686,Student 14687,Civil,5.6,95.9,92.5,2,79.3
CS16687,Student 14688,Mechanical,6.4,44.9,72.5,1,53.5
CS16688,Student 14689,Civil,8.5,58.1,72.3,0,61.9
CS16689,Student 14690,Mechanical,6.4,46.8,62.7,3,53.3
CS16690,Student 14691,Computer Science,7.2,36.2,71.1,0,50.2
CS16691,Student 14692,Mechanical,9.9,93.4,81.1,2,83.5
CS16692,Student 14693,Computer Science,9.2,32.5,38.7,2,45.0
CS16693,Student 14694,Electrical,6.0,60.2,85.7,0,61.8
CS16694,Student 14695,Mechanical,7.1,89.5,54.2,1,67.3
CS16695,Student 14696,Mechanical,9.5,41.4,88.4,1,63.1
CS16696,Student 14697,Electrical,8.9,38.0,72.4,0,54.7
CS16697,Student 14698,Computer Science,7.8,37.4,59.5,0,48.4
CS16698,Student 14699,Electrical,6.7,59.6,79.9,0,61.2
CS16699,Student 14700,Computer Science,9.0,30.1,61.7,0,48.6
CS16700,Student 14701,Computer Science,7.4,51.3,52.3,0,51.0
CS16701,Student 14702,Civil,6.7,98.2,60.5,3,73.8
CS16702,Student 14703,Mechanical,9.8,93.0,71.7,2,80.3
CS16703,Student 14704,Computer Science,7.2,58.9,53.7,2,56.1
CS16704,Student 14705,Civil,6.5,47.6,74.8,2,56.5
CS16705,Student 14706,Mechanical,6.5,98.7,86.4,0,78.4
CS16706,Student 14707,Computer Science,7.6,37.8,48.0,2,46.7
CS16707,Student 14708,Computer Science,8.9,64.5,81.3,1,69.0
CS16708,Student 14709,Civil,7.8,54.9,94.7,0,66.0
CS16709,Student 14710,Mechanical,5.1,56.5,56.4,2,51.7
CS16710,Student 14711,Mechanical,7.6,98.1,87.8,3,83.8
CS16711,Student 14712,Computer Science,6.1,81.3,86.6,3,73.7
CS16712,Student 14713,Civil,5.8,57.3,42.3,2,49.2
CS16713,Student 14714,Computer Science,9.9,98.4,98.4,0,88.7
CS16714,Student 14715,Mechanical,6.6,81.1,94.5,2,76.0
CS16715,Student 14716,Civil,5.8,66.3,39.9,0,50.1
CS16716,Student 14717,Mechanical,8.6,35.9,89.1,0,58.3
CS16717,Student 14718,Mechanical,5.3,84.0,76.3,2,69.1
CS16718,Student 14719,Mechanical,9.7,62.6,41.1,3,59.8
CS16719,Student 14720,Computer Science,7.6,40.2,50.9,3,49.6
CS16720,Student 14721,Civil,8.3,92.1,72.8,3,78.3
CS16721,Student 14722,Civil,8.2,63.5,72.4,2,65.5
CS16722,Student 14723,Electrical,9.1,95.0,54.0,2,74.4
CS16723,Student 14724,Civil,8.6,68.0,54.2,0,60.7
CS16724,Student 14725,Mechanical,7.3,74.1,35.6,3,57.9
CS16725,Student 14726,Mechanical,6.8,83.5,85.0,3,75.5
CS16726,Student 14727,Computer Science,9.8,78.5,81.6,3,78.5
CS16727,Student 14728,Mechanical,7.8,95.0,86.4,3,82.5
CS16728,Student 14729,Electrical,9.0,75.7,81.7,1,73.8
CS16729,Student 14730,Mechanical,7.5,34.9,59.5,3,49.8
CS16730,Student 14731,Mechanical,6.0,95.5,94.0,3,81.4
CS16731,Student 14732,Civil,6.2,98.3,65.2,3,74.3
CS16732,Student 14733,Computer Science,8.2,53.5,44.4,1,52.1
CS16733,Student 14734,Civil,5.7,72.6,54.4,0,56.8
CS16734,Student 14735,Electrical,6.8,67.3,51.4,0,55.9
CS16735,Student 14736,Electrical,9.3,36.3,61.6,2,53.6
CS16736,Student 14737,Electrical,6.0,35.8,82.9,3,54.2
CS16737,Student 14738,Computer Science,5.4,78.9,77.1,1,66.5
CS16738,Student 14739,Mechanical,6.4,88.7,84.0,0,73.5
CS16739,Student 14740,Electrical,5.7,91.3,94.6,0,76.3
CS16740,Student 14741,Electrical,7.0,39.4,50.1,2,46.8
CS16741,Student 14742,Civil,7.8,87.9,73.0,0,72.7
CS16742,Student 14743,Computer Science,6.3,34.0,56.5,1,44.2
CS16743,Student 14744,Mechanical,8.3,50.6,46.8,3,53.9
CS16744,Student 14745,Computer Science,5.4,89.0,47.3,0,60.6
CS16745,Student 14746,Electrical,5.3,53.0,61.2,0,50.2
CS16746,Student 14747,Computer Science,5.9,32.3,80.6,1,49.9
CS16747,Student 14748,Civil,8.6,91.8,31.9,3,66.5
CS16748,Student 14749,Civil,9.9,69.3,67.3,1,68.7
CS16749,Student 14750,Mechanical,6.6,73.1,82.7,1,68.2
CS16750,Student 14751,Electrical,5.5,85.2,88.1,3,74.5
CS16751,Student 14752,Mechanical,8.7,66.1,74.0,2,68.0
CS16752,Student 14753,Electrical,5.7,51.6,76.0,3,57.8
CS16753,Student 14754,Mechanical,7.9,46.7,86.7,1,61.5
CS16754,Student 14755,Mechanical,8.5,56.3,82.5,0,64.3
CS16755,Student 14756,Civil,9.6,52.5,74.5,1,63.5
CS16756,Student 14757,Civil,6.4,46.1,89.7,3,61.2
CS16757,Student 14758,Mechanical,8.2,42.8,69.3,3,57.3
CS16758,Student 14759,Electrical,5.9,54.4,46.8,3,50.6
CS16759,Student 14760,Civil,5.4,47.1,69.5,3,53.5
CS16760,Student 14761,Civil,5.7,72.8,52.9,2,58.4
CS16761,Student 14762,Computer Science,8.2,70.5,78.4,1,69.1
CS16762,Student 14763,Computer Science,5.6,99.4,72.9,0,72.8
CS16763,Student 14764,Civil,5.7,58.2,90.5,0,61.8
CS16764,Student 14765,Civil,9.3,86.7,89.9,1,81.2
CS16765,Student 14766,Civil,5.8,32.9,75.4,3,50.4
CS16766,Student 14767,Electrical,7.4,99.2,34.9,3,68.0
CS16767,Student 14768,Computer Science,8.4,91.1,62.2,2,73.9
CS16768,Student 14769,Mechanical,8.6,30.3,64.4,1,49.6
CS16769,Student 14770,Civil,6.7,52.0,56.1,1,52.0
CS16770,Student 14771,Civil,9.8,33.2,77.6,0,56.2
CS16771,Student 14772,Civil,5.0,65.3,36.8,1,48.2
CS16772,Student 14773,Electrical,7.5,97.7,68.5,1,75.6
CS16773,Student 14774,Civil,7.7,75.4,33.0,1,56.5
CS16774,Student 14775,Electrical,6.2,92.8,61.1,3,70.8
CS16775,Student 14776,Computer Science,8.2,39.5,90.8,0,59.4
CS16776,Student 14777,Mechanical,8.7,34.1,57.9,1,49.4
CS16777,Student 14778,Mechanical,6.0,74.4,88.4,1,69.3
CS16778,Student 14779,Computer Science,8.9,42.5,96.6,0,63.8
CS16779,Student 14780,Computer Science,8.7,32.3,78.6,0,53.9
CS16780,Student 14781,Electrical,5.8,55.6,92.6,1,62.6
CS16781,Student 14782,Electrical,8.2,76.9,50.6,1,63.3
CS16782,Student 14783,Electrical,8.3,87.0,41.1,1,64.7
CS16783,Student 14784,Mechanical,9.9,49.3,57.6,0,56.8
CS16784,Student 14785,Computer Science,7.3,60.5,51.3,3,57.2
CS16785,Student 14786,Electrical,6.9,39.8,96.5,2,60.7
CS16786,Student 14787,Electrical,9.9,70.0,37.3,3,62.0
CS16787,Student 14788,Computer Science,6.0,54.4,61.9,2,54.3
CS16788,Student 14789,Electrical,5.7,62.1,59.6,1,55.1
CS16789,Student 14790,Computer Science,7.5,68.5,84.2,1,68.7
CS16790,Student 14791,Mechanical,8.4,76.5,49.3,1,63.2
CS16791,Student 14792,Computer Science,10.0,91.7,30.7,0,65.9
CS16792,Student 14793,Civil,6.7,74.4,60.1,0,61.2
CS16793,Student 14794,Electrical,7.5,56.4,30.7,0,46.8
CS16794,Student 14795,Electrical,9.0,78.7,53.2,3,68.4
CS16795,Student 14796,Electrical,7.0,96.2,66.3,2,74.4
CS16796,Student 14797,Computer Science,8.7,34.9,93.3,1,60.4
CS16797,Student 14798,Computer Science,7.5,34.7,79.3,1,53.7
CS16798,Student 14799,Computer Science,5.3,58.7,44.7,3,50.5
CS16799,Student 14800,Mechanical,5.1,88.3,49.6,1,61.4
CS16800,Student 14801,Civil,6.2,80.7,40.0,3,59.7
CS16801,Student 14802,Mechanical,5.1,55.4,76.6,3,58.3
CS16802,Student 14803,Computer Science,6.8,86.5,92.9,0,76.1
CS16803,Student 14804,Mechanical,8.0,35.6,72.8,3,55.1
CS16804,Student 14805,Civil,9.1,53.5,45.1,0,53.1
CS16805,Student 14806,Electrical,9.2,68.1,74.4,2,70.0
CS16806,Student 14807,Computer Science,7.9,56.6,54.4,2,56.8
CS16807,Student 14808,Electrical,7.2,77.3,64.1,1,65.5
CS16808,Student 14809,Computer Science,7.7,97.4,84.4,0,79.7
CS16809,Student 14810,Civil,7.1,50.1,62.8,1,54.1
CS16810,Student 14811,Electrical,6.7,59.4,72.2,1,59.8
CS16811,Student 14812,Electrical,5.3,88.1,33.6,1,56.9
CS16812,Student 14813,Computer Science,7.5,44.0,55.1,0,49.1
CS16813,Student 14814,Computer Science,7.2,50.3,92.0,1,63.1
CS16814,Student 14815,Mechanical,9.0,71.1,60.1,1,65.5
CS16815,Student 14816,Civil,9.2,42.3,73.8,2,59.5
CS16816,Student 14817,Mechanical,9.8,95.7,71.4,3,82.3
CS16817,Student 14818,Mechanical,5.8,85.8,89.6,2,74.8
CS16818,Student 14819,Computer Science,6.8,62.2,31.4,2,49.9
CS16819,Student 14820,Mechanical,7.6,46.0,93.5,1,62.7
CS16820,Student 14821,Civil,5.7,68.0,71.9,0,60.2
CS16821,Student 14822,Mechanical,7.4,67.2,62.2,1,61.3
CS16822,Student 14823,Mechanical,8.1,85.9,32.9,2,62.4
CS16823,Student 14824,Electrical,8.8,88.0,58.0,1,71.2
CS16824,Student 14825,Mechanical,8.8,86.6,83.4,3,80.3
CS16825,Student 14826,Mechanical,6.7,43.4,74.2,3,56.0
CS16826,Student 14827,Computer Science,5.7,94.2,32.3,0,58.8
CS16827,Student 14828,Electrical,6.7,66.6,61.8,2,60.6
CS16828,Student 14829,Electrical,7.6,93.6,62.2,3,74.3
CS16829,Student 14830,Civil,9.0,69.7,96.4,2,76.8
CS16830,Student 14831,Civil,8.3,30.5,86.8,3,57.8
CS16831,Student 14832,Civil,8.8,75.5,86.0,0,73.6
CS16832,Student 14833,Computer Science,7.7,69.9,60.8,2,63.6
CS16833,Student 14834,Mechanical,8.8,37.1,59.4,1,51.3
CS16834,Student 14835,Civil,5.2,58.0,44.4,1,47.9
CS16835,Student 14836,Computer Science,8.8,95.0,50.4,3,73.7
CS16836,Student 14837,Civil,5.0,30.5,58.2,3,42.7
CS16837,Student 14838,Electrical,9.2,40.2,34.5,3,47.8
CS16838,Student 14839,Computer Science,9.5,82.5,50.7,2,69.2
CS16839,Student 14840,Civil,9.8,83.2,67.6,3,76.2
CS16840,Student 14841,Mechanical,5.6,84.3,39.0,1,57.6
CS16841,Student 14842,Mechanical,7.1,95.6,45.9,3,69.2
CS16842,Student 14843,Mechanical,7.8,91.6,39.3,1,65.0
CS16843,Student 14844,Electrical,7.7,55.8,66.7,3,60.7
CS16844,Student 14845,Mechanical,7.5,39.1,86.6,3,59.6
CS16845,Student 14846,Computer Science,8.7,76.9,45.8,0,61.9
CS16846,Student 14847,Mechanical,6.7,42.0,54.4,0,46.5
CS16847,Student 14848,Computer Science,9.4,52.5,63.7,1,59.9
CS16848,Student 14849,Civil,9.5,45.6,97.7,1,67.5
CS16849,Student 14850,Computer Science,8.6,65.2,84.7,2,70.7
CS16850,Student 14851,Mechanical,8.7,77.4,31.8,2,59.9
CS16851,Student 14852,Computer Science,9.6,31.0,46.6,2,47.6
CS16852,Student 14853,Mechanical,7.8,57.2,66.0,3,61.3
CS16853,Student 14854,Civil,8.7,59.6,77.3,0,64.4
CS16854,Student 14855,Computer Science,7.4,50.0,63.0,0,53.7
CS16855,Student 14856,Computer Science,9.3,90.7,96.7,2,85.9
CS16856,Student 14857,Computer Science,6.7,66.7,45.8,0,53.8
CS16857,Student 14858,Computer Science,6.4,91.4,49.0,3,67.1
CS16858,Student 14859,Mechanical,9.4,80.3,50.3,2,68.0
CS16859,Student 14860,Civil,7.5,32.3,71.7,0,49.4
CS16860,Student 14861,Civil,7.5,72.3,81.4,3,71.3
CS16861,Student 14862,Electrical,6.3,40.8,56.2,0,45.8
CS16862,Student 14863,Civil,8.1,96.9,47.9,1,70.3
CS16863,Student 14864,Computer Science,7.2,62.6,67.6,1,60.7
CS16864,Student 14865,Electrical,7.0,43.7,54.0,3,50.7
CS16865,Student 14866,Mechanical,8.4,76.5,53.2,2,65.4
CS16866,Student 14867,Civil,5.5,36.2,61.2,1,44.8
CS16867,Student 14868,Mechanical,6.5,46.9,82.8,0,56.6
CS16868,Student 14869,Civil,8.7,48.8,51.2,2,54.3
CS16869,Student 14870,Computer Science,6.3,94.1,44.9,1,64.7
CS16870,Student 14871,Civil,6.8,36.3,77.2,0,51.3
CS16871,Student 14872,Mechanical,8.7,45.6,47.6,2,51.9
CS16872,Student 14873,Electrical,7.4,34.8,82.0,0,53.3
CS16873,Student 14874,Civil,9.8,61.6,67.6,2,66.5
CS16874,Student 14875,Civil,6.8,56.7,49.8,0,51.2
CS16875,Student 14876,Computer Science,9.8,40.9,40.3,0,48.0
CS16876,Student 14877,Computer Science,6.0,82.3,98.0,0,74.3
CS16877,Student 14878,Computer Science,8.3,79.3,88.6,0,74.9
CS16878,Student 14879,Civil,6.8,46.0,60.1,0,50.0
CS16879,Student 14880,Computer Science,5.7,41.0,97.1,1,57.9
CS16880,Student 14881,Computer Science,9.1,38.8,57.9,1,52.1
CS16881,Student 14882,Mechanical,8.9,59.7,86.1,1,68.5
CS16882,Student 14883,Mechanical,8.3,52.3,60.3,3,58.6
CS16883,Student 14884,Electrical,7.5,41.6,55.0,3,51.1
CS16884,Student 14885,Electrical,7.2,51.6,56.2,0,51.9
CS16885,Student 14886,Civil,7.2,62.6,36.1,3,53.3
CS16886,Student 14887,Electrical,7.5,68.3,82.8,0,67.2
CS16887,Student 14888,Mechanical,5.8,92.2,88.5,1,76.0
CS16888,Student 14889,Mechanical,8.3,54.6,55.1,0,55.0
CS16889,Student 14890,Civil,7.0,38.4,97.4,3,61.6
CS16890,Student 14891,Electrical,5.6,44.3,56.9,2,48.0
CS16891,Student 14892,Computer Science,6.9,37.9,72.8,1,51.8
CS16892,Student 14893,Civil,7.8,80.0,92.3,1,76.3
CS16893,Student 14894,Civil,6.7,58.4,59.8,0,54.7
CS16894,Student 14895,Civil,8.3,90.8,70.0,2,75.9
CS16895,Student 14896,Electrical,9.3,59.7,89.1,0,69.2
CS16896,Student 14897,Computer Science,9.1,84.6,56.1,2,70.9
CS16897,Student 14898,Civil,7.0,30.2,54.3,0,42.4
CS16898,Student 14899,Civil,6.9,79.0,72.2,1,68.1
CS16899,Student 14900,Electrical,6.8,45.9,32.2,2,43.6
CS16900,Student 14901,Mechanical,5.6,81.5,97.5,3,76.0
CS16901,Student 14902,Civil,8.3,98.8,80.4,1,81.2
CS16902,Student 14903,Civil,8.8,63.7,90.5,3,73.2
CS16903,Student 14904,Civil,9.3,35.0,43.6,0,45.7
CS16904,Student 14905,Electrical,9.8,40.8,71.4,1,58.3
CS16905,Student 14906,Civil,5.1,49.4,46.0,3,46.8
CS16906,Student 14907,Computer Science,5.5,52.1,45.5,0,45.5
CS16907,Student 14908,Mechanical,7.3,99.9,44.9,1,69.0
CS16908,Student 14909,Mechanical,5.0,63.9,62.7,3,57.4
CS16909,Student 14910,Computer Science,8.9,31.5,50.4,3,48.5
CS16910,Student 14911,Civil,7.5,44.6,83.7,2,60.0
CS16911,Student 14912,Computer Science,6.5,79.7,51.7,0,60.4
CS16912,Student 14913,Civil,8.7,38.9,67.2,0,53.1
CS16913,Student 14914,Civil,5.8,40.8,76.9,0,51.0
CS16914,Student 14915,Electrical,5.6,56.7,98.3,0,63.4
CS16915,Student 14916,Civil,5.8,64.9,88.9,1,65.2
CS16916,Student 14917,Mechanical,5.0,76.0,43.0,2,55.3
CS16917,Student 14918,Computer Science,7.3,43.2,48.3,3,49.4
CS16918,Student 14919,Electrical,7.7,97.6,34.2,2,66.7
CS16919,Student 14920,Civil,9.7,43.3,41.7,3,52.2
CS16920,Student 14921,Electrical,10.0,70.3,47.5,1,63.4
CS16921,Student 14922,Computer Science,5.2,39.9,96.7,0,55.4
CS16922,Student 14923,Civil,7.6,52.8,47.2,2,52.5
CS16923,Student 14924,Civil,8.9,49.0,60.8,2,57.6
CS16924,Student 14925,Mechanical,6.7,85.0,79.0,3,74.1
CS16925,Student 14926,Mechanical,8.0,85.1,47.8,0,64.4
CS16926,Student 14927,Computer Science,9.8,52.4,88.9,0,67.2
CS16927,Student 14928,Mechanical,9.6,39.2,38.4,0,46.4
CS16928,Student 14929,Civil,9.1,65.1,68.6,2,66.8
CS16929,Student 14930,Electrical,8.8,54.7,30.9,3,51.8
CS16930,Student 14931,Civil,8.8,99.6,53.2,2,75.4
CS16931,Student 14932,Computer Science,5.5,74.5,73.7,3,65.9
CS16932,Student 14933,Civil,8.2,69.6,83.1,3,72.2
CS16933,Student 14934,Mechanical,6.7,69.1,75.8,3,66.8
CS16934,Student 14935,Electrical,9.5,73.9,64.5,1,68.9
CS16935,Student 14936,Computer Science,8.5,38.4,88.2,3,61.8
CS16936,Student 14937,Civil,6.9,84.6,88.7,1,75.2
CS16937,Student 14938,Civil,6.2,71.5,84.2,1,67.3
CS16938,Student 14939,Civil,5.5,43.3,75.4,3,53.9
CS16939,Student 14940,Civil,5.4,50.2,33.1,2,42.8
CS16940,Student 14941,Civil,7.7,33.3,50.3,0,43.8
CS16941,Student 14942,Civil,8.5,52.1,46.7,1,52.9
CS16942,Student 14943,Electrical,7.5,81.5,32.5,2,59.4
CS16943,Student 14944,Computer Science,5.4,90.2,38.5,1,59.4
CS16944,Student 14945,Electrical,5.6,49.1,43.0,0,43.7
CS16945,Student 14946,Mechanical,5.4,69.7,53.8,3,57.8
CS16946,Student 14947,Computer Science,5.1,55.3,64.1,3,54.5
CS16947,Student 14948,Civil,7.5,89.1,71.2,2,74.0
CS16948,Student 14949,Computer Science,8.6,51.6,53.4,2,55.9
CS16949,Student 14950,Electrical,7.0,93.7,35.2,1,63.0
CS16950,Student 14951,Mechanical,9.7,95.5,78.4,0,81.1
CS16951,Student 14952,Civil,7.1,89.2,34.6,0,60.3
CS16952,Student 14953,Computer Science,8.1,84.0,42.2,2,64.5
CS16953,Student 14954,Civil,8.2,34.8,86.0,3,59.1
CS16954,Student 14955,Computer Science,6.5,61.0,57.9,3,57.8
CS16955,Student 14956,Electrical,8.5,72.7,99.8,0,76.0
CS16956,Student 14957,Mechanical,5.2,41.2,30.2,0,35.9
CS16957,Student 14958,Computer Science,7.2,96.8,87.7,1,80.4
CS16958,Student 14959,Mechanical,5.9,41.1,47.9,3,45.6
CS16959,Student 14960,Mechanical,8.5,95.0,69.9,2,78.0
CS16960,Student 14961,Mechanical,5.9,63.1,45.3,2,52.6
CS16961,Student 14962,Civil,9.1,51.6,72.7,0,60.7
CS16962,Student 14963,Civil,7.6,84.2,39.0,3,63.6
CS16963,Student 14964,Computer Science,9.6,92.8,66.0,2,78.1
CS16964,Student 14965,Electrical,8.1,32.7,84.2,0,54.5
CS16965,Student 14966,Civil,6.8,40.0,33.4,2,41.6
CS16966,Student 14967,Electrical,9.3,39.3,32.7,1,45.1
CS16967,Student 14968,Electrical,9.3,57.2,53.2,3,60.4
CS16968,Student 14969,Electrical,9.5,98.1,35.7,0,69.0
CS16969,Student 14970,Computer Science,9.0,43.4,92.9,3,66.2
CS16970,Student 14971,Mechanical,9.9,76.1,65.3,0,69.8
CS16971,Student 14972,Electrical,5.7,36.7,72.7,0,47.9
CS16972,Student 14973,Electrical,7.8,34.5,63.6,1,49.5
CS16973,Student 14974,Computer Science,9.6,38.3,65.1,3,57.0
CS16974,Student 14975,Civil,9.0,61.3,84.1,0,67.8
CS16975,Student 14976,Civil,7.4,94.4,89.3,0,79.4
CS16976,Student 14977,Electrical,5.2,84.1,35.1,0,54.6
CS16977,Student 14978,Mechanical,6.1,48.7,57.3,1,49.9
CS16978,Student 14979,Mechanical,8.0,88.6,33.9,1,62.6
CS16979,Student 14980,Electrical,5.3,61.1,70.7,2,58.3
CS16980,Student 14981,Civil,7.0,31.9,82.5,2,53.5
CS16981,Student 14982,Civil,6.5,75.0,39.7,2,56.9
CS16982,Student 14983,Electrical,7.2,49.9,85.2,2,61.9
CS16983,Student 14984,Civil,5.8,69.1,60.2,1,58.3
CS16984,Student 14985,Computer Science,9.6,63.8,84.6,3,73.1
CS16985,Student 14986,Computer Science,6.6,81.0,32.6,2,57.4
CS16986,Student 14987,Computer Science,5.0,31.4,39.0,2,36.3
CS16987,Student 14988,Computer Science,8.1,83.3,38.5,2,63.1
CS16988,Student 14989,Civil,9.0,60.1,63.3,3,64.0
CS16989,Student 14990,Electrical,6.6,35.5,37.2,3,41.6
CS16990,Student 14991,Mechanical,6.8,87.2,43.6,1,62.6
CS16991,Student 14992,Computer Science,6.7,65.8,41.9,2,54.3
CS16992,Student 14993,Mechanical,8.1,54.0,53.2,0,53.8
CS16993,Student 14994,Electrical,8.6,82.0,67.5,0,70.2
CS16994,Student 14995,Computer Science,7.1,42.5,99.8,3,64.1
CS16995,Student 14996,Civil,9.7,74.4,61.0,1,68.5
CS16996,Student 14997,Mechanical,7.3,51.4,84.8,2,62.6
CS16997,Student 14998,Electrical,7.1,72.5,83.4,2,70.2
CS16998,Student 14999,Mechanical,6.7,69.3,52.5,3,59.9
CS16999,Student 15000,Electrical,6.7,44.2,84.9,2,58.6
CS17000,Student 15001,Electrical,8.0,64.0,40.9,0,53.9
CS17001,Student 15002,Mechanical,6.0,92.3,36.9,0,60.0
CS17002,Student 15003,Mechanical,8.5,34.1,92.3,2,60.3
CS17003,Student 15004,Electrical,5.8,80.2,64.3,3,66.0
CS17004,Student 15005,Mechanical,6.8,99.2,95.9,2,84.1
CS17005,Student 15006,Electrical,9.3,98.5,77.4,3,84.2
CS17006,Student 15007,Computer Science,9.3,44.9,59.5,3,57.4
CS17007,Student 15008,Mechanical,5.8,56.9,97.2,2,65.5
CS17008,Student 15009,Civil,6.2,57.7,86.5,3,64.4
CS17009,Student 15010,Electrical,8.9,66.7,43.9,2,59.7
CS17010,Student 15011,Mechanical,6.7,39.7,60.2,1,48.3
CS17011,Student 15012,Electrical,6.1,34.4,63.5,3,48.0
CS17012,Student 15013,Computer Science,5.3,79.8,39.9,2,56.5
CS17013,Student 15014,Computer Science,9.9,94.5,76.2,0,80.5
CS17014,Student 15015,Electrical,8.0,91.2,80.6,3,79.7
CS17015,Student 15016,Electrical,6.2,38.6,86.4,0,53.8
CS17016,Student 15017,Mechanical,7.6,67.3,90.4,3,72.2
CS17017,Student 15018,Civil,9.7,42.1,36.1,0,47.1
CS17018,Student 15019,Civil,9.0,58.0,80.0,3,68.2
CS17019,Student 15020,Electrical,8.3,95.3,90.8,2,84.0
CS17020,Student 15021,Civil,8.8,36.3,60.4,0,50.2
CS17021,Student 15022,Computer Science,6.3,81.2,40.4,3,60.2
CS17022,Student 15023,Civil,9.4,76.7,69.9,3,73.5
CS17023,Student 15024,Electrical,8.5,44.4,64.1,2,56.0
CS17024,Student 15025,Civil,6.5,56.9,54.9,1,53.2
CS17025,Student 15026,Mechanical,5.8,91.6,89.4,3,78.1
CS17026,Student 15027,Mechanical,5.1,90.2,77.9,1,70.7
CS17027,Student 15028,Electrical,5.4,83.7,67.1,1,65.4
CS17028,Student 15029,Mechanical,9.4,30.1,99.9,2,62.8
CS17029,Student 15030,Civil,6.0,89.4,73.8,0,69.9
CS17030,Student 15031,Mechanical,7.0,44.7,60.9,3,53.2
CS17031,Student 15032,Computer Science,7.7,83.7,95.7,3,80.6
CS17032,Student 15033,Electrical,5.2,43.4,66.6,0,47.7
CS17033,Student 15034,Mechanical,7.6,68.1,51.0,1,58.7
CS17034,Student 15035,Electrical,7.7,52.7,36.4,1,48.4
CS17035,Student 15036,Mechanical,7.5,72.8,72.9,0,66.0
CS17036,Student 15037,Civil,6.6,52.3,53.3,2,52.1
CS17037,Student 15038,Civil,8.2,95.5,39.6,2,68.5
CS17038,Student 15039,Electrical,5.6,33.2,50.9,3,42.8
CS17039,Student 15040,Civil,6.2,75.0,39.1,1,55.1
CS17040,Student 15041,Computer Science,9.6,72.3,30.3,1,58.2
CS17041,Student 15042,Computer Science,9.6,86.3,44.6,2,69.1
CS17042,Student 15043,Civil,8.1,39.3,61.4,3,53.3
CS17043,Student 15044,Electrical,6.8,77.6,47.0,3,61.7
CS17044,Student 15045,Electrical,5.9,97.1,74.0,2,74.8
CS17045,Student 15046,Mechanical,8.9,64.5,71.7,3,68.1
CS17046,Student 15047,Civil,7.7,31.1,91.8,2,57.4
CS17047,Student 15048,Electrical,7.3,69.0,64.7,0,61.6
CS17048,Student 15049,Civil,6.7,79.0,88.8,1,72.6
CS17049,Student 15050,Civil,6.9,75.2,45.5,1,58.5
CS17050,Student 15051,Computer Science,9.7,46.3,37.4,2,51.1
CS17051,Student 15052,Civil,6.8,57.3,53.0,0,52.4
CS17052,Student 15053,Civil,5.8,45.9,69.2,0,50.7
CS17053,Student 15054,Electrical,5.7,52.3,52.0,2,49.9
CS17054,Student 15055,Computer Science,6.8,77.9,68.3,3,68.2
CS17055,Student 15056,Computer Science,8.9,47.9,30.2,2,48.0
CS17056,Student 15057,Computer Science,8.8,36.1,52.6,0,47.8
CS17057,Student 15058,Civil,8.2,48.1,45.7,1,50.4
CS17058,Student 15059,Electrical,5.4,48.8,66.6,2,52.3
CS17059,Student 15060,Mechanical,5.3,80.4,35.7,3,56.5
CS17060,Student 15061,Mechanical,5.8,32.2,48.7,0,39.1
CS17061,Student 15062,Civil,5.1,79.2,96.9,2,73.0
CS17062,Student 15063,Civil,6.7,80.2,77.1,2,70.6
CS17063,Student 15064,Civil,6.1,57.4,78.3,0,58.7
CS17064,Student 15065,Mechanical,8.2,92.7,89.2,1,81.2
CS17065,Student 15066,Computer Science,9.0,41.8,37.4,0,45.9
CS17066,Student 15067,Computer Science,7.2,64.1,87.0,0,66.1
CS17067,Student 15068,Electrical,6.8,34.1,78.8,1,51.9
CS17068,Student 15069,Civil,7.3,73.4,45.6,2,59.6
CS17069,Student 15070,Electrical,6.9,39.8,35.8,3,43.5
CS17070,Student 15071,Electrical,9.1,74.5,83.2,1,74.0
CS17071,Student 15072,Electrical,8.1,42.9,85.7,0,59.1
CS17072,Student 15073,Computer Science,7.6,58.7,67.7,2,61.0
CS17073,Student 15074,Civil,7.5,62.4,33.4,2,52.0
CS17074,Student 15075,Mechanical,5.5,58.9,36.2,2,47.4
CS17075,Student 15076,Civil,7.6,98.8,46.3,0,68.6
CS17076,Student 15077,Computer Science,6.9,46.1,47.1,1,47.4
